db,expert,id,author,title,genre ,nombre d'actes,Prologue,Prose/vers,"Musique, danse, machines",Date de création,Created,Updated
,1,5479,Barbier (Marie-Anne),Arrie et Pétus,tragédie,5,FALSE,vers,FALSE,3 JUIN1702,,
1,,5479,"Barbier (Marie Anne, Mlle)",Arrie et Pétus,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5242,Peyraud de Beaussol ,Arsacides (Les),tragédie,6,FALSE,vers,FALSE,26 JUILLET 1775,,
,1,5480,Pellegrin (Simon-Joseph),Artaxare,tragédie,5,FALSE,vers,FALSE,3 MAI 1718,,
1,,5480,Pellegrin (Simon-Joseph),Artaxare,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4867,Le Mierre (Antoine-Marin) ,Artaxerce,tragédie,5,FALSE,vers,FALSE,20 AOUT 1766,,
1,,4867,Lemierre (Antoine-Marin),Artaxerce,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5481,"Boyer (Claude, abbé)",Artaxerce,tragédie,5,FALSE,vers,FALSE,22 NOV 1682,,
1,,5481,"Boyer (Claude, abbé) ",Artaxerce,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5482,Deschamps (François-Michel-Chrétien),Artaxerce,tragédie,5,FALSE,vers,FALSE,19 DEC 1735,,
1,,5482,Deschamps (François-Michel-Chrétien),Artaxerce,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5483,"Voltaire (François-Marie Arouet, dit)",Artémire,tragédie,5,FALSE,vers,FALSE,15 FEV 1720,,
1,,5483,Voltaire (François-Marie Arouet dit),Artémire,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5484,Fontenelle (Bernard le Bouyier de),Aspar,tragédie,5,FALSE,vers,FALSE,27 DEC 1680,,
1,,5484,Fontenelle (Bernard le Bouvier de),Aspar,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5545,Procope-Couteaux (Michel),Assemblée des comédiens (L'),prologue,1,TRUE,,FALSE,22 SEPT 1724,,
,1,4868,Colardeau (Charles-Pierre),Astarbé,tragédie,5,FALSE,vers,FALSE,27 FEV 1758,,
1,,4868,Colardeau (Charles-Pierre),Astarbé,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4869,Quinault (Philippe),"Astrate, roi de Tyr",tragédie,5,FALSE,vers,FALSE,,,
1,,4869,Quinault (Philippe),"Astrate, roi de Tyr",tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4870,Châteaubrun (Jean-Baptiste Vivien de),Astyanax,tragédie,5,FALSE,vers,FALSE,5 JANV 1756,,
1,,4870,Châteaubrun (Jean-Baptiste Vivien de),Astyanax,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4871,Richerolle d'Avallon,Astyanax,tragédie,5,FALSE,vers,FALSE,7 FEV 1789,,
1,,4871,Richerolle d'Avalon,Astyanax,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4872,Racine (Jean),Athalie,tragédie,5,FALSE,vers,FALSE,,,
1,,4872,Racine (Jean),Athalie,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5485,La Grange-Chancel (François-Joseph de),Athénaïs,tragédie,5,FALSE,vers,FALSE,20 NOV 1699,,
1,,5485,La Grange-Chancel (Joseph de),Athénaïs,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
1,,4873,Boistel d'Welles (Jean-Baptiste Robert),Atoine et Cléopâtre,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4874,Crébillon (Prosper Jolyot de),Atrée et Thyeste,tragédie,5,FALSE,vers,FALSE,14 MARS 1707,,
1,,4874,Crébillon père (Prosper Jolyot de Crébillon dit),Atrée et Thyeste,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4875,Du Fresny (Charles),Attendez-moi sous l’orme,comédie,1,FALSE,prose,TRUE,19 MAI 1694,,
1,,4875,Regnard (Jean-François),Attendez-moi sous l’orme,comédie,1,FALSE,prose,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5486,Corneille (Pierre),"Attila, roi des Huns",tragédie,5,FALSE,vers,FALSE,,,
1,,5486,Corneille (Pierre),"Attila, roi des Huns",tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4876,Fabre d'Églantine (Philippe-François-Nazaire),Augusta,tragédie,5,FALSE,vers,FALSE,8 OCT 1787,,
1,,4876,Fabre d'Églantine (Philippe-François Nazaire Fabre dit),Augusta,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,4877,Manteufel (Ernest de),Auguste et Théodore ou les Deux pages,comédie,2,FALSE,prose,FALSE,6 MARS 1789,,
1,,4877,Manteufel (baron de),Auguste et Théodore ou les Deux pages,comédie,2,FALSE,prose,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5059,Molière (Jean-Baptiste Poquelin dit) ,Avare (L'),comédie,5,FALSE,prose,FALSE,,,
,1,5060,Aigueberre (Jean Dumas d'),Avare amoureux (L'),comédie,1,FALSE,prose,FALSE,,,
,1,5061,Brousse-Desfaucherets (Jean-Louis),Avare cru bienfaisant (L'),comédie,5,FALSE,vers,FALSE,,,
