id,title,author,genre ,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machines",Date de création
5755,Amusements de l'automne ou les Temples d'Éphèse et de Gnide (Les),Fuzelier (Louis),comédie,X,4 actes,prose,X,17 OCT 1725
5051,Andrienne (L'),Baron,comédie,,5,vers,,
4858,Andromaque,Racine (Jean),tragédie,,5,vers,,
5469,Andromède ,Corneille (Pierre),tragédie,X,5 actes,vers,X,
4859,Andronic,Campistron (Jean Galbert de) ,tragédie,,5,vers,,8 FEV 1685
5470,Angélique et Médor,Dancourt (Florent Carton dit),comédie,,1 acte,prose,X,1 AOUT 1685
5052,Anglais à Bordeaux (L'),Favart (Charles-Simon),comédie,,1,vers libres,,
5053,Anglomanie ou l'Orpheline léguée (L') ou L'Anglomane ou l'Orpheline léguée,Saurin (Bernard-Joseph),comédie,,1,vers libres,,
4860,Annibal,Marivaux (Pierre de),tragédie,,5,vers,,16 DEC 1720
5471,Annibal ,Riupeirous (Théodore),tragédie,,5 actes,vers,,5 NOV 1688
5472,Antigone,"Boyer (Claude, abbé) pseud : Pader d'Assézan",tragédie,,5 actes,vers,,14 MARS 1686
4861,Antigone ou la Piété fraternelle,Doigny du Ponceau,tragédie,,5,vers,,31 JUIL 1787
5473,Antiochus et Cléopâtre,Deschamps (François-Michel-Chrétien),tragédie,,5 actes,vers,,29 OCT 1717
5474,Antiochus ou Les Macchabées,"Nadal (Augustin, abbé)",tragédie,,5 actes,vers,,16 DEC 1722
4862,Antipater,Portelance (Michel),tragédie,,5,vers,,25 NOV 1751
4873,Antoine et Cléopâtre ,Boistel d'Welles (Jean-Baptiste-Robert ou Robert),tragédie,,5,vers,,06 NOV 1741
