Id,Author,Title,Genre,Created At,Updated At,Acts,Prose Vers,Prologue,Musique Danse Machine
5751,Aunillon (abbé Pierre-Charles-Fabiot),Les Amants déguisés,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,prose,false,false
5750,Dancourt (Florent Carton dit),Les Agioteurs,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,prose,false,false
5749,Baron (Michel Boyron dit),Les Adelphes ou L'École des pères,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5748,Laffichard (Thomas l'Affichard dit) ; Panard (Charles-François),Les Acteurs déplacés ou l'Amant comédien,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,true,false
5747,Legrand (Charlotte),Le Voleur ou Titapapouf,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5746,De Visé (Jean Donneau),Le Vieillard couru ou les Différents caractère des femmes,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,prose,false,false
5745,Dancourt (Florent Carton dit),Le Vert galant,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5744,Champmeslé (Charles Chevillet dit) ; La Fontaine (Jean),Le Veau perdu,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5743,Anonyme,Le Triomphe de l'hiver,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5742,Le Grand (Marc-Antoine),Le Temps présent,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,prose,false,false
5741,La Motte (Antoine Houdar de),Le Talisman,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,prose,false,false
5740,Hauteroche (Noël Lebreton de),Le Souper mal apprêté,0,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,0,,,false
5739,Brueys (David-Augustin de),Le Sot toujours sot ou le Marquis paysan,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,prose,false,false
5738,Montfleury (Antoine Jacob),Le Semblable à soi-même,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,vers,false,true
5737,Brueys (David-Augustin de) ; Palaprat (Jean),Le Secret révélé,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,prose,false,false
5736,Dancourt (Florent Carton dit),Le Second chapitre du Diable boiteux,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,2,prose,true,false
5735,Desforges,Le Rival secrétaire,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,vers,true,false
5734,Anonyme,Le Rival de son maître,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,5,vers,false,false
5733,Poisson (Philippe),Le Réveil d'Épiménide,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,3,vers,true,false
5732,Voisenon (Claude-Henri de Fusée de),Le Retour de l'Ombre de Molière,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,vers,false,false
5731,Baron (Michel Boyron dit),Le rendez-vous des Tuileries ou le Coquet trompé,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,3,prose,true,false
5730,La Fontaine (Jean de),Le Rendez-vous,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,vers,false,false
5729,La Grange (Nicolas de),Le Rajeunissement inutile,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,3,vers,false,false
5728,Fuzelier (Louis),Le Procès des sens,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,vers,false,false
5727,Dancourt (Florent Carton dit),Le Prix de l'arquebuse,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,1,prose,false,false
5726,Aigueberre (Jean Dumas d'),Le Prince de Noisy,comédie héroïque,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,3,prose,true,false
5725,Boissy (Louis de),Le Pouvoir de la sympathie,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,3,vers,false,false
5724,Lesage (Alain-René),Le Point d'honneur,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,5,prose,false,false
5723,Marivaux (Pierre Carlet de Chamblain de),Le Petit-maître corrigé,comédie,2013-12-16 12:46:37 -0500,2013-12-16 12:46:37 -0500,3,prose,false,false
