id,author,title,genre,acts,prologue,prose_vers,musique_danse_machine,date_de_creation
4870,Châteaubrun (Jean-Baptiste Vivien de),Astyanax,tragédie,5,FALSE,vers,FALSE,5 JANV 1756
4871,Richerolle d'Avallon,Astyanax,tragédie,5,FALSE,vers,FALSE,7 FEV 1789
4872,Racine (Jean),Athalie,tragédie,5,FALSE,vers,FALSE,
5485,La Grange-Chancel (François-Joseph de),Athénaïs,tragédie,5,FALSE,vers,FALSE,11/20/1699
4874,Crébillon (Prosper Jolyot de),Atrée et Thyeste,tragédie,5,FALSE,vers,FALSE,14 MARS 1707
4875,Du Fresny (Charles),Attendez-moi sous l’orme,comédie,1,FALSE,prose,TRUE,19 MAI 1694
5486,Corneille (Pierre),"Attila, roi des Huns",tragédie,5,FALSE,vers,FALSE,
4876,Fabre d'Églantine (Philippe-François-Nazaire),Augusta,tragédie,5,FALSE,vers,FALSE,10/8/1787
4877,Manteufel (Ernest de),Auguste et Théodore ou les Deux pages,comédie,2,FALSE,prose,FALSE,6 MARS 1789
5059,Molière (Jean-Baptiste Poquelin dit),Avare (L'),comédie,5,FALSE,prose,FALSE,
5060,Aigueberre (Jean Dumas d'),Avare amoureux (L'),comédie,1,FALSE,prose,FALSE,
5061,Brousse-Desfaucherets (Jean-Louis),Avare cru bienfaisant (L'),comédie,5,FALSE,vers,FALSE,
5546,Donneau de Vizé (Jean),Aventurière (L'),comédie,5,FALSE,vers,FALSE,2 JANV 1696
5062,Legrand (Marc-Antoine),Aveugle clairvoyant (L'),comédie,1,FALSE,vers,FALSE,
5063,Fournelle (Jean-Nicolas),Aveugle par crédulité (L'),comédie,1,FALSE,prose,FALSE,
5243,Vigée (Louis-Jean-Baptiste-Étienne),Aveux difficiles (Les),comédie,1,FALSE,vers,FALSE,24 FEVRIER 1783
5064,Brueys (David-Augustin de),Avocat Patelin (L'),comédie,3,FALSE,prose,FALSE,
5547,"Rosimond (Claude Rose, sieur de)",Avocat sans étude (L'),comédie,1,FALSE,vers,FALSE,
4878,Chénier (Marie-Joseph de),Azémire,tragédie,5,FALSE,vers,FALSE,11/6/1786
5065,Boissy (Louis de),Babillard (Le),comédie,1,FALSE,vers,FALSE,
5654,Anonyme,Badaud (Le),comédie,1,FALSE,prose,FALSE,10 MAI 1687
5655,Boissy (Louis de),Badinage (Le),comédie,1,FALSE,vers,FALSE,11/23/1733
5581,Dancourt (Florent Carton dit),Baguette (La),comédie,1,FALSE,prose,TRUE,
5656,Du Fresny (Charles),Bailli marquis (Le),comédie,1,FALSE,prose,TRUE,
4879,Racine (Jean),Bajazet,tragédie,5,FALSE,vers,FALSE,
5487,Pacarony (chevalier de),Bajazet premier,tragédie,5,FALSE,vers,FALSE,
5657,Boindin (Nicolas),Bal d'Auteuil (Le),comédie,3,TRUE,prose,TRUE,
5658,"Palaprat (Jean de, sieur de Bigot)",Ballet extravagant (Le),comédie,1,FALSE,prose,TRUE,
5066,Beaumarchais (Pierre-Augustin Caron de),Barbier de Séville ou la Précaution inutile (Le),comédie,4,FALSE,prose,FALSE,
5244,La Harpe (Jean François de),Barmécides (Les),tragédie,5,FALSE,vers,FALSE,
4880,Le Mierre (Antoine-Marin),Barnevelt,tragédie,5,FALSE,vers,FALSE,11 JUILLET 1778
5067,Corneille (Thomas),Baron d'Albikrac (Le),comédie,5,FALSE,vers,FALSE,30 JUIN 1790
5068,Poisson (Raymond),Baron de la Crasse (Le),comédie,1,FALSE,vers,TRUE,
5659,Corneille (Thomas),Baron des Fondrières (Le),comédie,5,FALSE,vers,FALSE,
5488,Gaultier,Basile et Quitterie,tragi-comédie,3,TRUE,vers,TRUE,
5582,Dancourt (Florent Carton dit),Belle-mère (La),comédie,5,FALSE,vers,FALSE,
4962,Vigée (Louis-Jean-Baptiste-Étienne),Belle-mère ou les Dangers d'un second mariage (La),comédie,5,FALSE,vers,FALSE,
5489,Quinault (Philippe),Bellérophon,tragédie,5,FALSE,vers,FALSE,24 JUIL 1788
4881,Racine (Jean),Bérénice,tragédie,5,FALSE,vers,FALSE,
4963,Desfontaines (François-Georges),Bergère des Alpes (La),comédie,1,FALSE,vers libre,FALSE,
4882,Saurin (Bernard-Joseph),Beverlei,tragédie bourgeoise,5,FALSE,vers libres,FALSE,12/15/1765
4964,Villemain d'Abancourt (François-Jean),Bienfaisance de Voltaire (La),pièces dramatique,1,FALSE,vers,FALSE,7 MAI 1768
5069,Pilhes (Joseph),Bienfait anonyme (Le),comédie,3,FALSE,prose,FALSE,30 MAI 1791
5070,Dampierre de la Salle,Bienfait rendu ou le Négociant (Le),comédie,5,FALSE,vers,FALSE,
4883,Saurin (Bernard-Joseph),Blanche et Guiscard,tragédie,5,FALSE,vers,FALSE,
5583,Poisson (Philippe),Boîte de Pandore (La),comédie,1,FALSE,prose,FALSE,26 SEPT 1763
5071,Legrand (Marc-Antoine),Bon ami (Le),comédie,1,FALSE,prose,FALSE,
5072,Montfleury (Antoine Jacob dit),Bon soldat (Le),comédie,1,FALSE,vers,TRUE,
5660,Regnard (Jean-François),Bourgeois de Falaise (Le),comédie,1,FALSE,vers,TRUE,
5073,Molière (Jean-Baptiste Poquelin dit),Bourgeois gentilhomme (Le),comédie-ballet,5,FALSE,prose,TRUE,
5245,Dancourt (Florent Carton dit),Bourgeoises à la mode (Les),comédie,5,FALSE,prose,FALSE,
5756,"Hauteroche (Noël Lebreton, sieur de)",Bourgeoises de qualité (Les),comédie,5,FALSE,vers,FALSE,15 NOVEMBRE 1692
5661,Anonyme,Bourget (Le),comédie,1,FALSE,prose,TRUE,
5074,Goldoni (Carlo),Bourru bienfaisant (Le),comédie,3,FALSE,prose,FALSE,
5757,"Saint-Glas (Pierre de, abbé de Saint-Ussans)",Bouts-rimés (Les),comédie,1,FALSE,prose,FALSE,
5490,Corneille (Thomas),Bradamante,tragédie,5,FALSE,vers,FALSE,
5246,La Harpe (Jean François de),Brames (Les),tragédie,5,FALSE,vers,FALSE,
4884,Poinsinet de Sivry (Louis),Briséis ou la colère d'Achille,tragédie,5,FALSE,vers,FALSE,15 DECEMBRE 1783
4885,Racine (Jean),Britannicus,tragédie,5,FALSE,vers,FALSE,25 JUIN 1759
5662,Anonyme,Brutal de sang froid / sens froid  (Le),comédie,1,FALSE,prose,FALSE,
4886,Voltaire (François-Marie Arouet dit),Brutus,tragédie,5,FALSE,vers,FALSE,
5491,Bernard (Catherine),Brutus,tragédie,5,FALSE,vers,FALSE,12/11/1730
