ext_id|etype|birth_death_years|mainrole|mainform|firstname|firstname1|formcompl|lastname|firstname2|computedform|url
8110|Personne|1773-1852|Comédien|ARMAND|Armand-Benoît|Armand-Benoît|Roussel, dit|ARMAND|Armand-Benoît|armand-benoît armand|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008110&ref=BIB00036570&p=1
8111|Personne|1773-1846|Comédien|LAFON|Pierre|Pierre|Rapenouille, dit|LAFON|Pierre|pierre lafon|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008111&ref=BIB00036570&p=1
8112|Personne|1781-1833|Comédien|BOURGOIN|Marie-Thérèse-Etiennette|Marie-Thérèse-Etiennette||BOURGOIN||marie-thérèse-etiennette bourgoin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008112&ref=BIB00036570&p=1
8113|Personne|1786-1837|Comédien|VOLNAIS|Claudine-Placide|Claudine-Placide|Croizet-Ferreire, dite Mlle|VOLNAIS|Claudine-Placide|claudine-placide volnais|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008113&ref=BIB00036570&p=1
8114|Personne|1759-1829|Comédien|DESPREZ|Nicolas-Gabriel|Nicolas-Gabriel|Poullot, dit|DESPREZ|Nicolas-Gabriel|nicolas-gabriel desprez|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008114&ref=BIB00036570&p=1
8115|Personne|1777-1835|Comédien|DUCHESNOIS|Catherine-Joséphine|Catherine-Joséphine|Rafuin, dite Mlle|DUCHESNOIS|Catherine-Joséphine|catherine-joséphine duchesnois|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008115&ref=BIB00036570&p=1
8116|Personne|1787-1867|Comédien|George|Marguerite-Joséphine|Marguerite-Joséphine|Weimer, dite Mlle|George|Marguerite-Joséphine|marguerite-joséphine george|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008116&ref=BIB00036570&p=1
8117|Personne|1768-1825|Comédien|LACAVE|Louis-Claude|Louis-Claude||LACAVE||louis-claude lacave|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008117&ref=BIB00036570&p=1
8118|Personne|1776-1807|Comédien|DESROZIERS|Angéline|Angéline|Duval, dite Mlle|DESROZIERS|Angéline|angéline desroziers|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008118&ref=BIB00036570&p=1
8120|Personne|1788-1843|Comédien|LEVERD|Jeanne-Emilie|Jeanne-Emilie||LEVERD||jeanne-emilie leverd|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008120&ref=BIB00036570&p=1
8121|Personne|1779-1825|Comédien|THENARD aîné|Auguste-Pierre-Louis|Auguste-Pierre-Louis|Chevalier-Perrin, dit|THENARD aîné|Auguste-Pierre-Louis|auguste-pierre-louis thenard aîné|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008121&ref=BIB00036570&p=1
8122|Personne|1761-1830|Comédien|DE VIGNY|Augustin-Gervais|Augustin-Gervais|Lechauve, dit|DE VIGNY|Augustin-Gervais|augustin-gervais de vigny|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008122&ref=BIB00036570&p=1
8123|Personne|1786-1856|Comédien|MICHELOT|Pierre-Marie-Nicolas|Pierre-Marie-Nicolas|dit Théodore|MICHELOT||pierre-marie-nicolas michelot|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008123&ref=BIB00036570&p=1
8124|Personne|1791-1878|Comédien|DUPUIS|Rose-Françoise-Gabrielle-Désirée|Rose-Françoise-Gabrielle-Désirée||DUPUIS||rose-françoise-gabrielle-désirée dupuis|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008124&ref=BIB00036570&p=1
8125|Personne|1786-1872|Comédien|DEMERSON|Anne|Anne||DEMERSON||anne demerson|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008125&ref=BIB00036570&p=1
8126|Personne|1782-1852|Comédien|CARTIGNY|Claude-Charles|Claude-Charles||CARTIGNY||claude-charles cartigny|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008126&ref=BIB00036570&p=1
8127|Personne|1783-1843|Comédien|MONROSE|Claude-Louis-Séraphin|Claude-Louis-Séraphin|Barizain, dit|MONROSE|Claude-Louis-Séraphin|claude-louis-séraphin monrose|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008127&ref=BIB00036570&p=1
8129|Personne|1784-1859|Comédien|FIRMIN|J.-B. François|J.-B. François|Becquerelle, dit|FIRMIN|J.-B. François|j.-b. françois firmin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008129&ref=BIB00036570&p=1
8130|Personne|1785-1854|Comédien|DESMOUSSEAUX|Félicité-Auguste|Félicité-Auguste|Saillot, dit|DESMOUSSEAUX|Félicité-Auguste|félicité-auguste desmousseaux|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008130&ref=BIB00036570&p=1
8132|Personne|1788-1864|Comédien|TOUSEZ|Charlotte-Zoé|Charlotte-Zoé|Regnier de la Brière, dite Mme|TOUSEZ|Charlotte-Zoé|charlotte-zoé tousez|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008132&ref=BIB00036570&p=1
8133|Personne|1772-1836|Comédien|GRANDVILLE|Charles-François|Charles-François|Grandin, dit|GRANDVILLE|Charles-François|charles-françois grandville|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008133&ref=BIB00036570&p=1
8134|Personne|1798-1843|Comédien|PARADOL|Anne-Catherine-Lucinde|Anne-Catherine-Lucinde||PARADOL||anne-catherine-lucinde paradol|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008134&ref=BIB00036570&p=1
8135|Personne|1799-1849|Comédien|MANTE|Louise-Charles-Théophile|Louise-Charles-Théophile|dite Mlle|MANTE||louise-charles-théophile mante|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008135&ref=BIB00036570&p=1
8136|Personne|1790-1857|Comédien|DESMOUSSEAUX|Françoise-Joséphine|Françoise-Joséphine|Anselme Baptiste, dite Mme|DESMOUSSEAUX|Françoise-Joséphine|françoise-joséphine desmousseaux|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008136&ref=BIB00036570&p=1
8137|Personne|1795-1864|Comédien|MENJAUD|Jean-Adolphe|Jean-Adolphe|Granet, dit|MENJAUD|Jean-Adolphe|jean-adolphe menjaud|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008137&ref=BIB00036570&p=1
